Tecnologia,2021,2022,2023,2024
Convencional,56231,57471,58842,59928
Ciclo combinado,35155,36870,40586,41243
Termoelectrica convencional,7476,7156,5120,5120
Carboelectrica,5507,5507,5507,5507
Turbogas,5746,5663,5311,5311
Combustion Interna,1768,1695,1738,1706
Lecho fluidizado,580,580,580,1041
Limpia,34587,37397,39253,42282
Renovable,29992,32561,34048,36808
Hidroelectrica,12671,12671,12671,13135
Eolica,8862,11231,12417,14414
Geotermica,891,891,891,891
Solar fotovoltaica,7555,7755,8055,8355
Termosolar,14,14,14,14
Otras,4595,4836,5206,5474
Nucleoelectrica,1608,1608,1608,1608
Bioenergia,1050,1291,1577,1725
Cogeneracion eficiente,1931,1931,2014,2134
Frenos regenerativos,7,7,7,7
Total,90818,94868,98095,"102,210"
