,I/2002,I/2003,I/2004,I/2005,I/2006,I/2007,I/2008,I/2009,I/2010,I/2011,I/2012,I/2013,I/2014,I/2015,I/2016,I/2017
Total,200362.3883,202595.5507,207018.8776,217158.7781,223563.5115,230926.6389,234096.2925,233471.6377,241490.8948,257883.5455,260497.8321,257860.107,258255.7743,261066.8281,263152.828,257416.682
Termoelectrica,130318.4524,135513.9698,140367.069,138783.5676,143855.8366,154335.7277,153417.4589,160351.8661,160025.5058,171580.2478,178890.7289,179091.2855,168731.5304,177148.8779,180732.3571,177792.6293
    Vapor,79299.76953,73743.00104,66334.09111,65077.2581,51930.95101,49482.42628,43325.395,43111.72076,40569.62198,47868.92808,53917.75554,47166.77683,33480.81691,35673.22237,36833.99993,41547.15454
    Ciclo combinado,44068.67435,54081.63045,70651.71279,71568.50085,89547.89797,101048.5787,106055.7878,112264.4583,114817.553,118454.5415,117606.0042,126583.3757,130907.363,134486.6216,136123.6912,128407.415
        CFE,22216.64476,22437.12228,24796.92037,26010.93095,30120.06029,30066.9032,31823.74501,35768.15165,36375.56055,34448.79026,37431.01667,43114.95279,47057.36585,47513.32534,49962.82227,44259.21668
        PIE (1),21852.0296,31644.50817,45854.79242,45557.5699,59427.83768,70981.67554,74232.0428,76496.30666,78441.99246,84005.75126,80174.9875,83468.42292,83849.99716,86973.29631,86160.86898,84148.19829
    Turbogas,6394.526855,6934.433078,2771.50639,1358.1732,1523.12028,2665.78004,2802.4332,3735.15764,3396.011616,4125.470122,6216.616472,3842.145038,2877.626467,5281.09204,5893.068009,5990.095449
    Combustion interna,555.481676,754.905258,609.758759,779.63548,853.86731,1138.94266,1233.84286,1240.52942,1242.319209,1131.308096,1150.35268,1498.987892,1465.723996,1707.94183,1881.597953,1847.964345
Dual,13879.46532,13858.6501,7915.279818,14275.11421,13875.19158,13375.02708,6883.31096,12298.60595,15577.75808,15395.87887,16233.96403,15583.71761,16166.98974,3475.166681,0,0
Carboelectrica,16151.91085,16681.19888,17883.26021,18380.28163,17931.20339,18100.72047,17789.14047,16886.20967,16485.07595,18158.43052,17724.10315,16044.4,17445.92668,30124.02055,34208.20457,30751.5929
Geotermolectrica,5397.615851,6281.658041,6576.804789,7298.51914,6685.38685,7403.85421,7055.75984,6739.66613,6618.460157,6506.614329,5816.642183,6069.717305,5999.650983,6291.15399,6032.801411,5924.537313
Nucleoelectrica,9746.62112,10501.50777,9193.935356,10804.90604,10866.24109,10420.72502,9803.97628,10501.0789,5879.240639,10089.19503,8769.598816,11799.86961,9677.208057,11577.13787,10567.17425,10882.86175
Eolica,6.666589,5.373959,6.146724,4.99936,44.80283,248.43238,254.61331,249.24681,166.391975,357.282677,1744.144413,1813.88962,2077.000412,2386.94645,2461.542146,1976.434412
    CFE,6.666589,5.373959,6.146724,4.99936,44.80283,248.43238,254.61331,249.24681,166.391975,105.680831,187.956067,189.611222,212.649157,202.923974,187.0410066,104.7839231
    PIE (1),0,0,0,0,0,0,0,0,0,251.601846,1556.188346,1624.278398,1864.351255,2184.022476,2274.50114,1871.650489
Hidroelectrica,24861.65616,19753.19213,25076.38169,27611.39006,30304.84923,27042.15205,38892.03273,26444.96415,36738.46223,35795.89624,31316.57426,27444.13313,38144.77386,30050.76785,29138.39562,30077.73847
Fotovoltaica,0,0,0,0,0,0,0,0,0,0,2.076424,13.094262,12.69421,12.756867,12.35281824,10.88785513
