Tecnologia,2021,2022,2023,2024
Convencional,241340,239658,243491,243551
Ciclo combinado,183344,186126,191721,189770
Termoelectrica convencional,12377,10720,9534,9293
Carboelectrica,35450,35450,35450,35529
Turbogas,4032,1356,1241,238
Combustion Interna,2311,2181,1719,1494
Lecho fluidizado,3825,3825,3825,7227
Limpia,104040,116843,124162,135746
Renovable,76712,88270,92823,102225
Hidroelectrica,32334,32334,32334,34433
Eolica,26390,36134,40180,46899
Geotermica,6403,6306,6036,6324
Solar fotovoltaica,11561,13472,13978,14544
Termosolar,24,24,24,24
Otras,27328,28573,31339,33521
Nucleoelectrica,10931,10931,10931,10961
Bioenergia,4500,6103,8162,9257
Cogeneracion eficiente,118897,11539,12246,13304
Total,345380,356502,367653,379297
